,X0,X1,y
0,17.89589185,-26.64676259,4
1,20.12817113,-28.11550847,4
2,11.55381567,4.485864173,2
3,14.35732192,2.349086318,2
4,13.59536202,7.649954605,2
5,20.28132115,-32.29595535,4
6,12.18274305,14.30765087,5
7,-11.17417976,-30.7446247,3
8,-9.884435729,-28.51609123,3
9,13.7963191,-31.58663,1
10,-8.998657015,-28.58564861,3
11,-4.144861639,1.670466185,6
12,-4.873692687,-25.69773382,3
13,9.55802083,4.937826401,2
14,-2.315521917,-2.570089756,6
15,13.08976638,-25.78403486,1
16,15.61576896,0.477956606,2
17,-7.356085061,-23.54092747,3
18,11.86215671,4.07512368,2
19,19.85953448,-30.30816392,4
20,9.384622951,13.24467715,5
21,10.05809325,20.96711392,5
22,14.0296206,4.799156,2
23,10.03434453,22.58644769,5
24,13.56182463,18.58116424,5
25,-5.638438792,-0.796269003,6
26,14.47845055,-29.19837991,1
27,21.20635816,-23.4258108,4
28,-7.925379062,-7.193198998,6
29,21.03468346,-28.70850496,4
30,-4.033543391,-5.305877376,6
31,11.25351741,5.945447372,2
32,-5.275539744,-7.552850463,6
33,17.87669028,-31.64276318,4
34,-4.54995544,4.176406094,6
35,12.26976968,-25.09555168,1
36,-2.943109823,5.9481417,6
37,20.0508171,-27.2104115,4
38,-4.584520856,0.020179614,6
39,8.508640717,19.38070013,5
40,13.3272619,-28.53683267,1
41,22.96375601,-29.65124165,4
42,10.57851564,-27.21054349,1
43,-10.50453994,-23.98362853,3
44,14.43323568,-30.73731225,1
45,-8.769606523,-29.32060963,3
46,11.51589258,12.71927667,5
47,-9.546157073,-24.63995631,3
48,6.004218512,-2.843411997,0
49,14.93573153,-27.60298677,1
50,11.3425002,-26.63183075,1
51,9.448406048,13.84376747,5
52,12.98967483,-27.35541829,1
53,16.48892207,-21.90322952,1
54,9.68288794,-28.09961207,1
55,8.781402194,17.61362136,5
56,6.228043789,1.451005573,0
57,4.844953548,0.76902086,0
58,8.932684735,-1.399354688,0
59,21.29421509,-32.430883,4
60,20.9853637,-36.79473224,4
61,17.25567958,-25.36443969,4
62,12.66078175,-21.66221675,1
63,13.79159654,12.58352733,5
64,19.26206456,-30.10477357,4
65,14.98566084,2.680493671,2
66,-6.937235407,-29.98713809,3
67,7.319772495,-4.546703355,0
68,7.778461818,11.15072591,5
69,16.08714394,-27.54903135,4
70,11.9989514,13.65140314,5
71,8.133090552,15.11401672,5
72,8.966320911,-26.82011258,1
73,19.02434333,-29.40068194,4
74,8.314926676,1.502100937,0
75,21.3363933,-31.1414685,4
76,12.93079684,3.456456037,2
77,9.041170338,13.64973444,5
78,11.4508736,-29.22656078,1
79,6.372539537,-6.652277249,0
80,6.796606987,1.13752064,0
81,8.741815668,14.32616489,5
82,14.35276132,4.210915333,2
83,13.26991491,-25.75367712,1
84,11.14329558,-30.11689348,1
85,10.81566028,5.224842547,0
86,9.187459481,18.70581823,5
87,8.650805384,-0.002074902,0
88,11.87175969,4.872844649,2
89,-4.501300393,-1.26990671,6
90,-2.74727225,3.126711911,6
91,10.93474858,19.01297092,5
92,-6.139770563,-2.58555872,6
93,11.72948048,11.30159762,5
94,18.50065043,-28.87532327,4
95,9.517975664,-2.50919429,0
96,11.98869186,-2.691352064,0
97,-8.331706529,-25.88716166,3
98,15.65839994,-25.77584273,1
99,12.95108802,13.78594117,5
100,15.80108464,-28.64449879,1
101,-6.681542458,-23.74248191,3
102,15.58743215,-34.08146442,4
103,12.87697646,2.302989305,2
104,-8.824469498,-1.254898246,6
105,6.531610921,12.95771847,5
106,13.278894,-32.75534966,1
107,-10.06666887,-24.0206629,3
108,-8.835430407,-26.35340742,3
109,-8.00227858,-29.23796799,3
110,16.63646382,-27.20515702,1
111,23.84615515,-31.25173198,4
112,12.74431784,-2.414117268,0
113,-8.367797053,-31.86306897,3
114,7.226156418,-4.796028951,0
115,-2.796541615,4.277069545,6
116,11.72072239,-27.46242198,1
117,-10.44367742,-27.47361296,3
118,13.32026349,-25.58542967,1
119,6.555867434,-1.975324071,0
120,-9.535538028,-29.75828543,3
121,14.25351872,6.116613628,2
122,8.92326408,-27.30454828,1
123,17.26752918,-31.0036312,4
124,17.30905906,-29.43803027,4
125,12.9717331,-23.44264525,1
126,-8.69725455,-27.99353173,3
127,14.31397096,-0.291274965,2
128,10.4601193,5.222063455,2
129,23.54145731,-27.89592787,4
130,14.65305318,-26.89632859,1
131,2.117335379,1.945716405,0
132,16.20545573,-26.95513751,4
133,18.18803634,-30.01942416,4
134,13.36359498,-28.64265489,1
135,23.0965619,-28.02400505,4
136,-6.736367047,-23.65581341,3
137,15.10613157,-24.77424614,1
138,8.41432324,-24.58782537,1
139,-6.503046133,-1.660674655,6
140,12.13764019,3.74740127,2
141,-4.617413774,-3.529361638,6
142,-4.144067315,-3.189114602,6
143,6.4361508,0.952353228,0
144,9.170517773,6.897459387,2
145,6.359816726,1.024591926,0
146,-12.93897391,-29.68398747,3
147,-6.002975318,-7.285833851,6
148,17.11454167,-32.4334682,4
149,15.8260173,-35.81047787,1
150,-7.14290327,-23.58922565,3
151,12.54319575,12.88940075,5
152,11.47212914,13.48634677,5
153,9.22306951,-4.87891166,0
154,10.80081383,1.629292758,2
155,-1.504057343,-1.399133574,6
156,8.304435776,-0.603959841,0
157,10.45260894,16.99947445,5
158,10.95370591,13.87166701,5
159,-9.501135621,-27.12584177,3
160,5.447583391,2.105050923,0
161,10.3097739,9.618626707,5
162,19.27609291,-27.97955274,4
163,10.40032876,14.17669668,5
164,3.233449808,1.029390339,0
165,-4.750935771,-5.241259859,6
166,12.97464584,-0.656628454,2
167,12.31307987,6.845349588,2
168,7.539786567,-1.233152176,0
169,4.507274012,0.942899708,0
170,8.191605079,3.176617576,0
171,8.927240764,6.488634554,2
172,23.00704585,-28.11553157,4
173,20.6325561,-30.36034582,4
174,-8.266813012,-28.76801969,3
175,9.17165707,-29.46879541,1
176,9.684382144,-0.618637716,0
177,9.107510695,-3.956415108,0
178,6.235417163,0.894921236,0
179,2.472766307,0.39057568,0
180,-7.793224424,-21.80648405,3
181,12.62612403,4.367476912,2
182,12.64603968,-22.95259143,1
183,12.0974998,-26.33943979,1
